Emoji,Name
U+1F1E8 U+1F1FF,flag-czechia
U+1F1E9 U+1F1EA,flag-germany
U+1F1E9 U+1F1EC,flag-diego-garcia
U+1F1E9 U+1F1EF,flag-djibouti
U+1F1E9 U+1F1F0,flag-denmark
U+1F1E9 U+1F1F2,flag-dominica
U+1F1E9 U+1F1F4,flag-dominican-republic
U+1F1E9 U+1F1FF,flag-algeria
U+1F1EA U+1F1E6,flag-ceuta-&-melilla
U+1F1EA U+1F1E8,flag-ecuador
U+1F1EA U+1F1EA,flag-estonia
U+1F1EA U+1F1EC,flag-egypt
U+1F1EA U+1F1ED,flag-western-sahara
U+1F1EA U+1F1F7,flag-eritrea
U+1F1EA U+1F1F8,flag-spain
U+1F1EA U+1F1F9,flag-ethiopia
U+1F1EA U+1F1FA,flag-european-union
U+1F1EB U+1F1EE,flag-finland
U+1F1EB U+1F1EF,flag-fiji
U+1F1EB U+1F1F0,flag-falkland-islands
U+1F1EB U+1F1F2,flag-micronesia
U+1F1EB U+1F1F4,flag-faroe-islands
U+1F1EB U+1F1F7,flag-france
U+1F1EC U+1F1E6,flag-gabon
U+1F1EC U+1F1E7,flag-united-kingdom
U+1F1EC U+1F1E9,flag-grenada
U+1F1EC U+1F1EA,flag-georgia
U+1F1EC U+1F1EB,flag-french-guiana
U+1F1EC U+1F1EC,flag-guernsey
U+1F1EC U+1F1ED,flag-ghana
U+1F1EC U+1F1EE,flag-gibraltar
U+1F1EC U+1F1F1,flag-greenland
U+1F1EC U+1F1F2,flag-gambia
U+1F1EC U+1F1F3,flag-guinea
U+1F1EC U+1F1F5,flag-guadeloupe
U+1F1EC U+1F1F6,flag-equatorial-guinea
U+1F1EC U+1F1F7,flag-greece
U+1F1EC U+1F1F8,flag-south-georgia-&-south-sandwich-islands
U+1F1EC U+1F1F9,flag-guatemala
U+1F1EC U+1F1FA,flag-guam
U+1F1EC U+1F1FC,flag-guinea-bissau
U+1F1EC U+1F1FE,flag-guyana
U+1F1ED U+1F1F0,flag-hong-kong-sar-china
U+1F1ED U+1F1F2,flag-heard-&-mcdonald-islands
U+1F1ED U+1F1F3,flag-honduras
U+1F1ED U+1F1F7,flag-croatia
U+1F1ED U+1F1F9,flag-haiti
U+1F1ED U+1F1FA,flag-hungary
U+1F1EE U+1F1E8,flag-canary-islands
U+1F1EE U+1F1E9,flag-indonesia
U+1F1EE U+1F1EA,flag-ireland
U+1F1EE U+1F1F1,flag-israel
U+1F1EE U+1F1F2,flag-isle-of-man
U+1F1EE U+1F1F3,flag-india
U+1F1EE U+1F1F4,flag-british-indian-ocean-territory
U+1F1EE U+1F1F6,flag-iraq
U+1F1EE U+1F1F7,flag-iran
U+1F1EE U+1F1F8,flag-iceland
U+1F1EE U+1F1F9,flag-italy
U+1F1EF U+1F1EA,flag-jersey
U+1F1EF U+1F1F2,flag-jamaica
U+1F1EF U+1F1F4,flag-jordan
U+1F1EF U+1F1F5,flag-japan
U+1F1F0 U+1F1EA,flag-kenya
U+1F1F0 U+1F1EC,flag-kyrgyzstan
U+1F1F0 U+1F1ED,flag-cambodia
U+1F1F0 U+1F1EE,flag-kiribati
U+1F1F0 U+1F1F2,flag-comoros
U+1F1F0 U+1F1F3,flag-st.-kitts-&-nevis
U+1F1F0 U+1F1F5,flag-north-korea
U+1F1F0 U+1F1F7,flag-south-korea
U+1F1F0 U+1F1FC,flag-kuwait
U+1F1F0 U+1F1FE,flag-cayman-islands
U+1F1F0 U+1F1FF,flag-kazakhstan
U+1F1F1 U+1F1E6,flag-laos
U+1F1F1 U+1F1E7,flag-lebanon
U+1F1F1 U+1F1E8,flag-st.-lucia
U+1F1F1 U+1F1EE,flag-liechtenstein
U+1F1F1 U+1F1F0,flag-sri-lanka
U+1F1F1 U+1F1F7,flag-liberia
U+1F1F1 U+1F1F8,flag-lesotho
U+1F1F1 U+1F1F9,flag-lithuania
U+1F1F1 U+1F1FA,flag-luxembourg
U+1F1F1 U+1F1FB,flag-latvia
U+1F1F1 U+1F1FE,flag-libya
U+1F1F2 U+1F1E6,flag-morocco
U+1F1F2 U+1F1E8,flag-monaco
U+1F1F2 U+1F1E9,flag-moldova
U+1F1F2 U+1F1EA,flag-montenegro
U+1F1F2 U+1F1EB,flag-st.-martin
U+1F1F2 U+1F1EC,flag-madagascar
U+1F1F2 U+1F1ED,flag-marshall-islands
U+1F1F2 U+1F1F0,flag-north-macedonia
U+1F1F2 U+1F1F1,flag-mali
U+1F1F2 U+1F1F2,flag-myanmar-(burma)
U+1F1F2 U+1F1F3,flag-mongolia
U+1F1F2 U+1F1F4,flag-macao-sar-china
U+1F1F2 U+1F1F5,flag-northern-mariana-islands
U+1F1F2 U+1F1F6,flag-martinique
U+1F1F2 U+1F1F7,flag-mauritania
U+1F1F2 U+1F1F8,flag-montserrat
U+1F1F2 U+1F1F9,flag-malta
U+1F1F2 U+1F1FA,flag-mauritius
U+1F1F2 U+1F1FB,flag-maldives
U+1F1F2 U+1F1FC,flag-malawi
U+1F1F2 U+1F1FD,flag-mexico
U+1F1F2 U+1F1FE,flag-malaysia
U+1F1F2 U+1F1FF,flag-mozambique
U+1F1F3 U+1F1E6,flag-namibia
U+1F1F3 U+1F1E8,flag-new-caledonia
U+1F1F3 U+1F1EA,flag-niger
U+1F1F3 U+1F1EB,flag-norfolk-island
U+1F1F3 U+1F1EC,flag-nigeria
U+1F1F3 U+1F1EE,flag-nicaragua
U+1F1F3 U+1F1F1,flag-netherlands
U+1F1F3 U+1F1F4,flag-norway
U+1F1F3 U+1F1F5,flag-nepal
U+1F1F3 U+1F1F7,flag-nauru
U+1F1F3 U+1F1FA,flag-niue
U+1F1F3 U+1F1FF,flag-new-zealand
U+1F1F4 U+1F1F2,flag-oman
U+1F1F5 U+1F1E6,flag-panama
U+1F1F5 U+1F1EA,flag-peru
U+1F1F5 U+1F1EB,flag-french-polynesia
U+1F1F5 U+1F1EC,flag-papua-new-guinea
U+1F1F5 U+1F1ED,flag-philippines
U+1F1F5 U+1F1F0,flag-pakistan
U+1F1F5 U+1F1F1,flag-poland
U+1F1F5 U+1F1F2,flag-st.-pierre-&-miquelon
U+1F1F5 U+1F1F3,flag-pitcairn-islands
U+1F1F5 U+1F1F7,flag-puerto-rico
U+1F1F5 U+1F1F8,flag-palestinian-territories
U+1F1F5 U+1F1F9,flag-portugal
U+1F1F5 U+1F1FC,flag-palau
U+1F1F5 U+1F1FE,flag-paraguay
U+1F1F6 U+1F1E6,flag-qatar
U+1F1F7 U+1F1EA,flag-réunion
U+1F1F7 U+1F1F4,flag-romania
U+1F1F7 U+1F1F8,flag-serbia
U+1F1F7 U+1F1FA,flag-russia
U+1F1F7 U+1F1FC,flag-rwanda
U+1F1F8 U+1F1E6,flag-saudi-arabia
U+1F1F8 U+1F1E7,flag-solomon-islands
U+1F1F8 U+1F1E8,flag-seychelles
U+1F1F8 U+1F1E9,flag-sudan
U+1F1F8 U+1F1EA,flag-sweden
U+1F1F8 U+1F1EC,flag-singapore
U+1F1F8 U+1F1ED,flag-st.-helena
U+1F1F8 U+1F1EE,flag-slovenia
U+1F1F8 U+1F1EF,flag-svalbard-&-jan-mayen
U+1F1F8 U+1F1F0,flag-slovakia
U+1F1F8 U+1F1F1,flag-sierra-leone
U+1F1F8 U+1F1F2,flag-san-marino
U+1F1F8 U+1F1F3,flag-senegal
U+1F1F8 U+1F1F4,flag-somalia
U+1F1F8 U+1F1F7,flag-suriname
U+1F1F8 U+1F1F8,flag-south-sudan
U+1F1F8 U+1F1F9,flag-são-tomé-&-príncipe
U+1F1F8 U+1F1FB,flag-el-salvador
U+1F1F8 U+1F1FD,flag-sint-maarten
U+1F1F8 U+1F1FE,flag-syria
U+1F1F8 U+1F1FF,flag-eswatini
U+1F1F9 U+1F1E6,flag-tristan-da-cunha
U+1F1F9 U+1F1E8,flag-turks-&-caicos-islands
U+1F1F9 U+1F1E9,flag-chad
U+1F1F9 U+1F1EB,flag-french-southern-territories
U+1F1F9 U+1F1EC,flag-togo
U+1F1F9 U+1F1ED,flag-thailand
U+1F1F9 U+1F1EF,flag-tajikistan
U+1F1F9 U+1F1F0,flag-tokelau
U+1F1F9 U+1F1F1,flag-timor-leste
U+1F1F9 U+1F1F2,flag-turkmenistan
U+1F1F9 U+1F1F3,flag-tunisia
U+1F1F9 U+1F1F4,flag-tonga
U+1F1F9 U+1F1F7,flag-türkiye
U+1F1F9 U+1F1F9,flag-trinidad-&-tobago
U+1F1F9 U+1F1FB,flag-tuvalu
U+1F1F9 U+1F1FC,flag-taiwan
U+1F1F9 U+1F1FF,flag-tanzania
U+1F1FA U+1F1E6,flag-ukraine
U+1F1FA U+1F1EC,flag-uganda
U+1F1FA U+1F1F2,flag-u.s.-outlying-islands
U+1F1FA U+1F1F3,flag-united-nations
U+1F1FA U+1F1F8,flag-united-states
U+1F1FA U+1F1FE,flag-uruguay
U+1F1FA U+1F1FF,flag-uzbekistan
U+1F1FB U+1F1E6,flag-vatican-city
U+1F1FB U+1F1E8,flag-st.-vincent-&-grenadines
U+1F1FB U+1F1EA,flag-venezuela
U+1F1FB U+1F1EC,flag-british-virgin-islands
U+1F1FB U+1F1EE,flag-u.s.-virgin-islands
U+1F1FB U+1F1F3,flag-vietnam
U+1F1FB U+1F1FA,flag-vanuatu
U+1F1FC U+1F1EB,flag-wallis-&-futuna
U+1F1FC U+1F1F8,flag-samoa
U+1F1FD U+1F1F0,flag-kosovo
U+1F1FE U+1F1EA,flag-yemen
U+1F1FE U+1F1F9,flag-mayotte
U+1F1FF U+1F1E6,flag-south-africa
U+1F1FF U+1F1F2,flag-zambia
U+1F1FF U+1F1FC,flag-zimbabwe
U+1F3F4 U+E0067 U+E0062 U+E0065 U+E006E U+E0067 U+E007F,flag-england
U+1F3F4 U+E0067 U+E0062 U+E0073 U+E0063 U+E0074 U+E007F,flag-scotland
U+1F3F4 U+E0067 U+E0062 U+E0077 U+E006C U+E0073 U+E007F,flag-wales
